fecha,Año,Mes,Mes_Nombre,Produccion_sacos_60kg,Exportaciones_sacos_60kg,Precio_Interno_COP,Precio_NY_USD_lb,Fenomeno_ENSO
2000-01-01,2000,1,Ene,86116.0,59724.0,290235.0,71.504,Normal
2000-02-01,2000,2,Feb,73623.0,58382.0,322752.0,80.541,Normal
2000-03-01,2000,3,Mar,72052.0,57267.0,357428.0,96.134,Normal
2000-04-01,2000,4,Abr,92767.0,77885.0,325411.0,91.394,Normal
2000-05-01,2000,5,May,57171.0,42794.0,317090.0,83.812,Normal
2000-06-01,2000,6,Jun,90163.0,74681.0,302611.0,79.526,Normal
2000-07-01,2000,7,Jul,74292.0,54523.0,336765.0,90.171,Normal
2000-08-01,2000,8,Ago,84801.0,62646.0,319875.0,88.674,Normal
2000-09-01,2000,9,Sep,74727.0,61110.0,296528.0,75.34,Normal
2000-10-01,2000,10,Oct,66927.0,47283.0,330247.0,85.75,Normal
2000-11-01,2000,11,Nov,66221.0,50759.0,313530.0,83.401,Normal
2000-12-01,2000,12,Dic,79848.0,62475.0,327873.0,83.525,Normal
2001-01-01,2001,1,Ene,71319.0,58049.0,350221.0,88.283,Normal
2001-02-01,2001,2,Feb,74215.0,50965.0,305426.0,85.668,Normal
2001-03-01,2001,3,Mar,70854.0,51491.0,327571.0,87.377,Normal
2001-04-01,2001,4,Abr,84143.0,63240.0,346159.0,95.859,Normal
2001-05-01,2001,5,May,65691.0,49529.0,338656.0,94.556,Normal
2001-06-01,2001,6,Jun,75446.0,56166.0,320464.0,86.113,Normal
2001-07-01,2001,7,Jul,56762.0,41343.0,367673.0,93.742,Normal
2001-08-01,2001,8,Ago,78920.0,53708.0,357775.0,90.214,Normal
2001-09-01,2001,9,Sep,65750.0,49593.0,367359.0,97.991,Normal
2001-10-01,2001,10,Oct,77479.0,56273.0,302183.0,80.798,Normal
2001-11-01,2001,11,Nov,86683.0,68009.0,310779.0,79.391,Normal
2001-12-01,2001,12,Dic,77036.0,59842.0,335850.0,83.702,Normal
2002-01-01,2002,1,Ene,72792.0,57623.0,338098.0,83.652,Normal
2002-02-01,2002,2,Feb,75220.0,56671.0,373588.0,104.347,Normal
2002-03-01,2002,3,Mar,74229.0,53239.0,373530.0,91.895,Normal
2002-04-01,2002,4,Abr,67174.0,52083.0,361777.0,95.39,Normal
2002-05-01,2002,5,May,75703.0,62757.0,311362.0,84.068,Normal
2002-06-01,2002,6,Jun,72864.0,52259.0,354795.0,98.344,Normal
2002-07-01,2002,7,Jul,84155.0,67398.0,319419.0,84.935,Normal
2002-08-01,2002,8,Ago,75967.0,56585.0,301368.0,75.798,Normal
2002-09-01,2002,9,Sep,64764.0,50260.0,335966.0,89.291,Normal
2002-10-01,2002,10,Oct,62642.0,50120.0,300603.0,84.081,Normal
2002-11-01,2002,11,Nov,66506.0,52725.0,341245.0,92.051,Normal
2002-12-01,2002,12,Dic,70987.0,49932.0,347094.0,95.648,Normal
2003-01-01,2003,1,Ene,63529.0,47436.0,312544.0,83.607,Normal
2003-02-01,2003,2,Feb,71937.0,59998.0,360773.0,90.33,Normal
2003-03-01,2003,3,Mar,82884.0,60986.0,363196.0,100.717,Normal
2003-04-01,2003,4,Abr,74070.0,58650.0,360876.0,100.237,Normal
2003-05-01,2003,5,May,90997.0,68487.0,367378.0,91.04,Normal
2003-06-01,2003,6,Jun,69741.0,47957.0,369606.0,100.232,Normal
2003-07-01,2003,7,Jul,72976.0,52343.0,313860.0,83.315,Normal
2003-08-01,2003,8,Ago,80434.0,61288.0,383865.0,95.54,Normal
2003-09-01,2003,9,Sep,86156.0,68532.0,338113.0,86.795,Normal
2003-10-01,2003,10,Oct,81122.0,59590.0,371075.0,94.317,Normal
2003-11-01,2003,11,Nov,76051.0,63093.0,329108.0,88.921,Normal
2003-12-01,2003,12,Dic,83224.0,64776.0,323740.0,89.612,Normal
2004-01-01,2004,1,Ene,66581.0,51871.0,368718.0,101.389,Normal
2004-02-01,2004,2,Feb,81470.0,64519.0,328500.0,80.727,Normal
2004-03-01,2004,3,Mar,70724.0,56380.0,363081.0,93.466,Normal
2004-04-01,2004,4,Abr,67621.0,55712.0,370034.0,100.466,Normal
2004-05-01,2004,5,May,68343.0,49505.0,391153.0,98.688,Normal
2004-06-01,2004,6,Jun,86903.0,68134.0,344399.0,95.221,Normal
2004-07-01,2004,7,Jul,76898.0,59512.0,382728.0,104.393,Normal
2004-08-01,2004,8,Ago,72775.0,51461.0,328820.0,90.927,Normal
2004-09-01,2004,9,Sep,61836.0,50872.0,372125.0,99.742,Normal
2004-10-01,2004,10,Oct,74904.0,56726.0,342957.0,93.439,Normal
2004-11-01,2004,11,Nov,93489.0,68036.0,342258.0,84.285,Normal
2004-12-01,2004,12,Dic,68364.0,49536.0,316065.0,83.53,Normal
2005-01-01,2005,1,Ene,72513.0,52236.0,357106.0,92.669,Normal
2005-02-01,2005,2,Feb,98476.0,68780.0,333355.0,85.268,Normal
2005-03-01,2005,3,Mar,73750.0,59555.0,359657.0,89.262,Normal
2005-04-01,2005,4,Abr,80066.0,66920.0,337171.0,88.803,Normal
2005-05-01,2005,5,May,65114.0,47659.0,393933.0,102.492,Normal
2005-06-01,2005,6,Jun,73779.0,54341.0,380985.0,102.065,Normal
2005-07-01,2005,7,Jul,76605.0,55621.0,354629.0,90.521,Normal
2005-08-01,2005,8,Ago,77080.0,58501.0,351737.0,91.481,Normal
2005-09-01,2005,9,Sep,74306.0,57210.0,351241.0,93.631,Normal
2005-10-01,2005,10,Oct,74243.0,59261.0,363792.0,98.914,Normal
2005-11-01,2005,11,Nov,66867.0,49551.0,367643.0,91.844,Normal
2005-12-01,2005,12,Dic,73433.0,54279.0,407207.0,109.047,Normal
2006-01-01,2006,1,Ene,65729.0,51277.0,334106.0,84.809,Normal
2006-02-01,2006,2,Feb,74744.0,62270.0,350990.0,91.872,Normal
2006-03-01,2006,3,Mar,74606.0,54654.0,381584.0,93.765,Normal
2006-04-01,2006,4,Abr,73841.0,51463.0,369001.0,98.726,Normal
2006-05-01,2006,5,May,71673.0,53482.0,355210.0,94.134,Normal
2006-06-01,2006,6,Jun,75861.0,55078.0,355695.0,99.934,Normal
2006-07-01,2006,7,Jul,74751.0,52545.0,373434.0,93.248,Normal
2006-08-01,2006,8,Ago,74468.0,62238.0,352127.0,91.11,Normal
2006-09-01,2006,9,Sep,88999.0,70317.0,395742.0,101.765,Normal
