Pais,Item,Year,Rendimiento_t_ha,Lluvia_mm,Temp_C,Fenomeno_ENSO
Colombia,Maize,1990,4.431,2113.8,27.9,Normal
Colombia,"Rice, paddy",1990,4.772,2113.8,27.9,Normal
Colombia,"Coffee, green",1990,0.83,2113.8,27.9,Normal
Colombia,Potatoes,1990,17.736,2113.8,27.9,Normal
Colombia,Cassava,1990,8.397,2113.8,27.9,Normal
Colombia,Bananas,1990,8.645,2113.8,27.9,Normal
Colombia,Avocados,1990,9.648,2113.8,27.9,Normal
Colombia,Maize,1991,4.516,2157.7,20.1,Normal
Colombia,"Rice, paddy",1991,5.143,2157.7,20.1,Normal
Colombia,"Coffee, green",1991,0.814,2157.7,20.1,Normal
Colombia,Potatoes,1991,18.278,2157.7,20.1,Normal
Colombia,Cassava,1991,9.215,2157.7,20.1,Normal
Colombia,Bananas,1991,8.603,2157.7,20.1,Normal
Colombia,Avocados,1991,9.188,2157.7,20.1,Normal
Colombia,Maize,1992,3.797,1667.0,26.2,Normal
Colombia,"Rice, paddy",1992,4.492,1667.0,26.2,Normal
Colombia,"Coffee, green",1992,0.789,1667.0,26.2,Normal
Colombia,Potatoes,1992,17.593,1667.0,26.2,Normal
Colombia,Cassava,1992,9.769,1667.0,26.2,Normal
Colombia,Bananas,1992,7.779,1667.0,26.2,Normal
Colombia,Avocados,1992,8.699,1667.0,26.2,Normal
Colombia,Maize,1993,4.587,2028.3,17.0,Normal
Colombia,"Rice, paddy",1993,4.874,2028.3,17.0,Normal
Colombia,"Coffee, green",1993,0.709,2028.3,17.0,Normal
Colombia,Potatoes,1993,21.021,2028.3,17.0,Normal
Colombia,Cassava,1993,8.05,2028.3,17.0,Normal
Colombia,Bananas,1993,8.55,2028.3,17.0,Normal
Colombia,Avocados,1993,8.072,2028.3,17.0,Normal
Colombia,Maize,1994,4.146,899.7,26.6,Normal
Colombia,"Rice, paddy",1994,4.066,899.7,26.6,Normal
Colombia,"Coffee, green",1994,0.752,899.7,26.6,Normal
Colombia,Potatoes,1994,18.779,899.7,26.6,Normal
Colombia,Cassava,1994,9.056,899.7,26.6,Normal
Colombia,Bananas,1994,7.736,899.7,26.6,Normal
Colombia,Avocados,1994,9.072,899.7,26.6,Normal
Colombia,Maize,1995,4.665,1511.0,24.3,Normal
Colombia,"Rice, paddy",1995,4.408,1511.0,24.3,Normal
Colombia,"Coffee, green",1995,0.722,1511.0,24.3,Normal
Colombia,Potatoes,1995,18.113,1511.0,24.3,Normal
Colombia,Cassava,1995,8.174,1511.0,24.3,Normal
Colombia,Bananas,1995,7.934,1511.0,24.3,Normal
Colombia,Avocados,1995,9.409,1511.0,24.3,Normal
Colombia,Maize,1996,4.073,1468.5,20.5,Normal
Colombia,"Rice, paddy",1996,4.384,1468.5,20.5,Normal
Colombia,"Coffee, green",1996,0.779,1468.5,20.5,Normal
Colombia,Potatoes,1996,19.49,1468.5,20.5,Normal
Colombia,Cassava,1996,8.162,1468.5,20.5,Normal
Colombia,Bananas,1996,9.365,1468.5,20.5,Normal
Colombia,Avocados,1996,8.815,1468.5,20.5,Normal
Colombia,Maize,1997,3.397,2127.1,17.6,El Niño
Colombia,"Rice, paddy",1997,3.693,2127.1,17.6,El Niño
Colombia,"Coffee, green",1997,0.645,2127.1,17.6,El Niño
Colombia,Potatoes,1997,14.713,2127.1,17.6,El Niño
Colombia,Cassava,1997,7.538,2127.1,17.6,El Niño
Colombia,Bananas,1997,6.58,2127.1,17.6,El Niño
Colombia,Avocados,1997,7.247,2127.1,17.6,El Niño
Colombia,Maize,1998,3.22,2028.6,24.6,El Niño
Colombia,"Rice, paddy",1998,3.405,2028.6,24.6,El Niño
Colombia,"Coffee, green",1998,0.651,2028.6,24.6,El Niño
Colombia,Potatoes,1998,14.338,2028.6,24.6,El Niño
