Año,Departamento,Región,Cultivo,Area_Sembrada_ha,Produccion_t,Rendimiento_t_ha,Fenomeno_ENSO
2007,Antioquia,Eje Cafetero,Café,161869.0,144698.0,0.8939,Normal
2007,Antioquia,Eje Cafetero,Plátano,47538.0,397501.0,8.3618,Normal
2007,Antioquia,Eje Cafetero,Aguacate,7772.0,86851.0,11.1744,Normal
2007,Caldas,Eje Cafetero,Café,145901.0,128401.0,0.8801,Normal
2007,Caldas,Eje Cafetero,Plátano,45793.0,391126.0,8.5412,Normal
2007,Caldas,Eje Cafetero,Aguacate,7420.0,97411.0,13.1278,Normal
2007,Risaralda,Eje Cafetero,Café,184975.0,142953.0,0.7728,Normal
2007,Risaralda,Eje Cafetero,Plátano,40202.0,308784.0,7.6808,Normal
2007,Risaralda,Eje Cafetero,Aguacate,8158.0,98377.0,12.0594,Normal
2007,Huila,Eje Cafetero,Café,164766.0,129467.0,0.7858,Normal
2007,Huila,Eje Cafetero,Plátano,45936.0,349515.0,7.6088,Normal
2007,Huila,Eje Cafetero,Aguacate,8126.0,94909.0,11.6793,Normal
2007,Nariño,Eje Cafetero,Café,165983.0,143869.0,0.8668,Normal
2007,Nariño,Eje Cafetero,Plátano,40440.0,332553.0,8.2233,Normal
2007,Nariño,Eje Cafetero,Aguacate,8907.0,97188.0,10.9115,Normal
2007,Córdoba,Región Caribe,Maíz,86335.0,133065.0,1.5413,Normal
2007,Córdoba,Región Caribe,Plátano,38645.0,345340.0,8.9362,Normal
2007,Córdoba,Región Caribe,Yuca,35819.0,372675.0,10.4045,Normal
2007,Sucre,Región Caribe,Maíz,78734.0,119458.0,1.5172,Normal
2007,Sucre,Región Caribe,Plátano,46901.0,379984.0,8.1019,Normal
2007,Sucre,Región Caribe,Yuca,27865.0,272813.0,9.7905,Normal
2007,Bolívar,Región Caribe,Maíz,71954.0,128443.0,1.7851,Normal
2007,Bolívar,Región Caribe,Plátano,41228.0,349060.0,8.4665,Normal
2007,Bolívar,Región Caribe,Yuca,29653.0,291768.0,9.8393,Normal
2007,Magdalena,Región Caribe,Maíz,84808.0,131114.0,1.546,Normal
2007,Magdalena,Región Caribe,Plátano,50706.0,438665.0,8.6512,Normal
2007,Magdalena,Región Caribe,Yuca,35572.0,376138.0,10.5739,Normal
2007,Meta,Llanos Orientales,Arroz,62406.0,345122.0,5.5303,Normal
2007,Meta,Llanos Orientales,Maíz,73311.0,113609.0,1.5497,Normal
2007,Meta,Llanos Orientales,Yuca,27141.0,256687.0,9.4576,Normal
2007,Casanare,Llanos Orientales,Arroz,58600.0,285195.0,4.8668,Normal
2007,Casanare,Llanos Orientales,Maíz,91885.0,147266.0,1.6027,Normal
2007,Casanare,Llanos Orientales,Yuca,29363.0,290216.0,9.8837,Normal
2007,Vichada,Llanos Orientales,Arroz,54094.0,292555.0,5.4082,Normal
2007,Vichada,Llanos Orientales,Maíz,72961.0,132109.0,1.8107,Normal
2007,Vichada,Llanos Orientales,Yuca,33995.0,313081.0,9.2095,Normal
2007,Tolima,Región Andina,Arroz,51632.0,279935.0,5.4218,Normal
2007,Tolima,Región Andina,Maíz,88827.0,153277.0,1.7256,Normal
2007,Tolima,Región Andina,Papa,35145.0,659093.0,18.7536,Normal
2007,Tolima,Región Andina,Aguacate,8299.0,91933.0,11.0781,Normal
2007,Tolima,Región Andina,Frijol,30496.0,29685.0,0.9734,Normal
2007,Cundinamarca,Región Andina,Arroz,57549.0,267883.0,4.6548,Normal
2007,Cundinamarca,Región Andina,Maíz,78894.0,125623.0,1.5923,Normal
2007,Cundinamarca,Región Andina,Papa,34739.0,731735.0,21.064,Normal
2007,Cundinamarca,Región Andina,Aguacate,9673.0,115436.0,11.9333,Normal
2007,Cundinamarca,Región Andina,Frijol,24362.0,24131.0,0.9905,Normal
2007,Boyacá,Región Andina,Arroz,65368.0,337463.0,5.1625,Normal
