Item,Year,Value_t,Area_ha,Yield_t_ha,Fenomeno_ENSO
"Coffee, green",1990,807851.0,818059.0,0.9875,Normal
"Rice, paddy",1990,2619699.0,486581.0,5.3839,Normal
Maize,1990,1506119.0,908433.0,1.6579,Normal
Potatoes,1990,2482584.0,128346.0,19.3429,Normal
Bananas,1990,3951059.0,405366.0,9.7469,Normal
Avocados,1990,608429.0,68592.0,8.8702,Normal
Cassava,1990,1896884.0,217915.0,8.7047,Normal
Sugar cane,1990,24023269.0,235875.0,101.8476,Normal
"Coffee, green",1991,786884.0,839273.0,0.9376,Normal
"Rice, paddy",1991,2602132.0,482660.0,5.3912,Normal
Maize,1991,1480087.0,903153.0,1.6388,Normal
Potatoes,1991,2546518.0,128885.0,19.7581,Normal
Bananas,1991,3828225.0,405059.0,9.451,Normal
Avocados,1991,667702.0,71310.0,9.3634,Normal
Cassava,1991,1920059.0,215148.0,8.9244,Normal
Sugar cane,1991,21591408.0,237061.0,91.0795,Normal
"Coffee, green",1992,817605.0,849262.0,0.9627,Normal
"Rice, paddy",1992,2397468.0,480026.0,4.9945,Normal
Maize,1992,1535089.0,889322.0,1.7261,Normal
Potatoes,1992,2661972.0,130569.0,20.3875,Normal
Bananas,1992,3820242.0,389932.0,9.7972,Normal
Avocados,1992,647029.0,71619.0,9.0343,Normal
Cassava,1992,2047426.0,209869.0,9.7557,Normal
Sugar cane,1992,24221836.0,234708.0,103.1997,Normal
"Coffee, green",1993,826198.0,812610.0,1.0167,Normal
"Rice, paddy",1993,2724174.0,480482.0,5.6697,Normal
Maize,1993,1448824.0,888969.0,1.6298,Normal
Potatoes,1993,2589942.0,132071.0,19.6103,Normal
Bananas,1993,4052072.0,395406.0,10.2479,Normal
Avocados,1993,660811.0,71571.0,9.2329,Normal
Cassava,1993,2158730.0,218146.0,9.8958,Normal
Sugar cane,1993,23194330.0,240890.0,96.2858,Normal
"Coffee, green",1994,827005.0,805105.0,1.0272,Normal
"Rice, paddy",1994,2623196.0,481548.0,5.4474,Normal
Maize,1994,1558033.0,888558.0,1.7534,Normal
Potatoes,1994,2716333.0,129388.0,20.9937,Normal
Bananas,1994,3894484.0,389303.0,10.0037,Normal
Avocados,1994,678311.0,71101.0,9.5401,Normal
Cassava,1994,2081528.0,218931.0,9.5077,Normal
Sugar cane,1994,24322410.0,247325.0,98.3421,Normal
"Coffee, green",1995,785059.0,848532.0,0.9252,Normal
"Rice, paddy",1995,2599365.0,474837.0,5.4742,Normal
Maize,1995,1414801.0,904415.0,1.5643,Normal
Potatoes,1995,2811851.0,131539.0,21.3766,Normal
Bananas,1995,4003483.0,401340.0,9.9753,Normal
Avocados,1995,670340.0,69547.0,9.6387,Normal
Cassava,1995,2029970.0,217361.0,9.3392,Normal
Sugar cane,1995,22542305.0,239516.0,94.1159,Normal
"Coffee, green",1996,828681.0,846563.0,0.9789,Normal
"Rice, paddy",1996,2802794.0,501338.0,5.5906,Normal
Maize,1996,1549930.0,911871.0,1.6997,Normal
Potatoes,1996,2776748.0,132537.0,20.9507,Normal
Bananas,1996,3670408.0,399936.0,9.1775,Normal
Avocados,1996,713606.0,70763.0,10.0844,Normal
Cassava,1996,2117090.0,220023.0,9.6221,Normal
Sugar cane,1996,23039246.0,242300.0,95.0854,Normal
"Coffee, green",1997,579310.0,813419.0,0.7122,El Niño
"Rice, paddy",1997,1774182.0,499833.0,3.5495,El Niño
Maize,1997,1067439.0,919897.0,1.1604,El Niño
Potatoes,1997,1921128.0,134143.0,14.3214,El Niño
Bananas,1997,2718384.0,401593.0,6.769,El Niño
Avocados,1997,519997.0,72936.0,7.1295,El Niño
Cassava,1997,1453814.0,223501.0,6.5047,El Niño
Sugar cane,1997,17384992.0,244790.0,71.0201,El Niño
"Coffee, green",1998,566881.0,818550.0,0.6925,El Niño
"Rice, paddy",1998,1976317.0,491416.0,4.0217,El Niño
Maize,1998,1100995.0,934291.0,1.1784,El Niño
Potatoes,1998,2065847.0,128390.0,16.0905,El Niño
Bananas,1998,2878237.0,395630.0,7.2751,El Niño
