cultivo,region,temperatura_c,humedad_suelo_pct,ph_suelo,rendimiento_t_ha,alerta_calor,alerta_hidrico
Café,Eje Cafetero,14.4,40.5,7.07,0.427,0,0
Café,Valle del Cauca,29.3,38.1,6.33,0.375,0,0
Plátano,Eje Cafetero,17.0,56.8,6.1,7.824,0,0
Maíz,Eje Cafetero,21.3,22.5,5.88,0.696,0,1
Café,Llanos Orientales,19.9,13.8,6.31,0.182,0,1
Café,Eje Cafetero,21.9,53.1,6.6,0.694,0,0
Café,Valle del Cauca,21.9,62.2,5.06,0.77,0,0
Papa,Eje Cafetero,22.6,35.9,5.41,10.754,0,0
Café,Valle del Cauca,24.9,45.8,5.08,0.599,0,0
Plátano,Región Caribe,22.7,51.3,8.3,6.637,0,0
Plátano,Valle del Cauca,17.3,33.4,6.03,4.358,0,0
Café,Región Caribe,28.5,100.0,4.85,1.033,0,0
Plátano,Región Caribe,14.4,75.6,5.71,9.105,0,0
Maíz,Región Caribe,21.8,43.0,6.99,1.336,0,0
Plátano,Región Andina,22.1,66.8,6.4,9.079,0,0
Café,Valle del Cauca,20.4,38.7,5.61,0.556,0,0
Maíz,Eje Cafetero,21.0,67.1,6.68,1.772,0,0
Maíz,Valle del Cauca,23.4,53.1,7.45,1.661,0,0
Café,Región Caribe,27.2,51.3,6.08,0.612,0,0
Arroz,Llanos Orientales,26.5,90.2,5.98,7.349,0,0
Arroz,Llanos Orientales,28.4,78.5,5.72,6.076,0,0
Maíz,Eje Cafetero,26.6,45.4,6.97,0.912,0,0
Arroz,Región Andina,19.2,58.4,6.62,5.261,0,0
Arroz,Región Andina,24.2,37.7,7.08,3.236,0,0
Café,Eje Cafetero,18.4,49.5,4.5,0.522,0,0
Maíz,Llanos Orientales,23.0,52.5,4.74,1.23,0,0
Arroz,Valle del Cauca,20.7,73.5,5.49,5.542,0,0
Café,Región Caribe,19.9,58.1,7.28,0.676,0,0
Café,Eje Cafetero,28.1,31.4,4.0,0.375,0,0
Arroz,Valle del Cauca,22.8,62.7,8.2,5.146,0,0
Café,Región Caribe,23.1,79.7,5.16,1.165,0,0
Café,Llanos Orientales,22.3,61.0,5.35,0.695,0,0
Arroz,Región Andina,22.0,54.8,5.9,5.23,0,0
Café,Región Caribe,22.7,58.3,5.25,0.887,0,0
Maíz,Llanos Orientales,21.3,72.0,6.0,2.27,0,0
Café,Llanos Orientales,25.4,56.4,5.7,0.815,0,0
Papa,Llanos Orientales,20.1,44.0,6.05,13.203,0,0
Café,Valle del Cauca,22.9,36.0,7.15,0.413,0,0
Arroz,Valle del Cauca,11.1,54.5,6.13,2.895,0,0
Arroz,Eje Cafetero,27.0,45.9,6.07,3.739,0,0
Maíz,Región Caribe,29.3,43.8,7.04,1.067,0,0
Arroz,Valle del Cauca,20.5,72.5,7.64,5.498,0,0
Café,Valle del Cauca,18.1,75.3,5.13,0.999,0,0
Café,Valle del Cauca,29.4,73.0,6.67,0.896,0,0
Maíz,Región Caribe,17.1,69.2,6.36,1.389,0,0
Arroz,Región Andina,22.4,50.4,6.6,4.589,0,0
Papa,Llanos Orientales,31.1,58.9,7.15,17.082,1,0
Maíz,Llanos Orientales,18.7,59.2,7.19,1.267,0,0
Maíz,Región Andina,20.4,44.7,6.29,1.115,0,0
Maíz,Eje Cafetero,29.0,65.6,7.99,1.694,0,0
Arroz,Eje Cafetero,23.7,75.8,5.36,5.398,0,0
Papa,Región Caribe,19.0,41.6,5.48,13.08,0,0
Arroz,Valle del Cauca,22.1,59.2,5.07,4.467,0,0
Café,Llanos Orientales,19.2,46.7,6.98,0.546,0,0
Plátano,Valle del Cauca,29.1,36.7,5.47,4.747,0,0
Café,Valle del Cauca,16.3,42.3,6.26,0.53,0,0
Arroz,Llanos Orientales,17.1,52.2,6.23,3.531,0,0
Maíz,Región Caribe,24.6,56.9,6.57,1.689,0,0
Arroz,Llanos Orientales,21.2,31.3,7.18,2.596,0,0
Papa,Valle del Cauca,22.8,63.1,6.53,19.145,0,0
Plátano,Valle del Cauca,14.8,63.3,8.02,6.007,0,0
Arroz,Llanos Orientales,15.9,40.2,7.39,3.099,0,0
Maíz,Llanos Orientales,21.6,62.2,6.57,1.578,0,0
Café,Eje Cafetero,24.4,37.8,6.63,0.497,0,0
Arroz,Valle del Cauca,24.8,51.3,6.77,3.649,0,0
Café,Llanos Orientales,16.3,80.0,6.26,0.854,0,0
Café,Región Caribe,31.4,50.6,5.88,0.508,1,0
Plátano,Eje Cafetero,19.1,100.0,4.88,12.587,0,0
Arroz,Valle del Cauca,23.1,57.7,6.29,4.523,0,0
Arroz,Valle del Cauca,24.6,77.4,4.48,5.958,0,0
Papa,Región Andina,22.1,37.8,5.83,14.997,0,0
Maíz,Eje Cafetero,25.1,20.2,7.72,0.481,0,1
Papa,Región Caribe,25.5,49.8,7.47,15.382,0,0
Maíz,Valle del Cauca,20.2,43.2,5.49,1.05,0,0
Maíz,Valle del Cauca,15.8,79.9,6.81,1.83,0,0
Café,Eje Cafetero,20.4,46.4,7.06,0.65,0,0
Arroz,Llanos Orientales,22.3,78.6,5.66,6.131,0,0
Plátano,Región Caribe,21.8,67.4,4.0,7.695,0,0
Plátano,Región Caribe,17.4,41.5,7.3,5.646,0,0
Maíz,Llanos Orientales,25.7,39.6,5.37,0.856,0,0
Café,Valle del Cauca,28.6,24.0,5.66,0.279,0,1
Arroz,Eje Cafetero,23.0,57.4,4.63,4.358,0,0
Arroz,Región Andina,24.1,52.4,5.37,4.304,0,0
Arroz,Región Andina,23.5,33.3,6.04,2.411,0,0
Café,Región Andina,20.1,72.0,5.87,0.993,0,0
Café,Región Andina,19.9,74.0,7.04,0.981,0,0
Plátano,Región Andina,21.2,19.6,4.01,3.012,0,1
Café,Eje Cafetero,22.6,27.7,5.88,0.4,0,1
Papa,Región Andina,32.3,89.7,4.6,22.606,1,0
Café,Eje Cafetero,19.1,58.4,6.41,0.786,0,0
Arroz,Llanos Orientales,23.7,69.6,5.62,5.918,0,0
Maíz,Eje Cafetero,25.5,30.8,6.81,0.679,0,0
Café,Valle del Cauca,17.5,35.2,7.32,0.401,0,0
Arroz,Región Caribe,15.2,45.4,4.66,3.412,0,0
Café,Llanos Orientales,19.7,32.5,5.7,0.461,0,0
Arroz,Región Caribe,23.5,49.7,5.72,3.736,0,0
Maíz,Región Andina,21.9,50.2,6.55,1.403,0,0
Café,Valle del Cauca,22.2,21.8,5.36,0.285,0,1
Café,Llanos Orientales,29.7,57.1,6.92,0.674,0,0
Café,Eje Cafetero,31.5,45.2,5.96,0.487,1,0
Arroz,Llanos Orientales,27.4,73.2,4.78,4.948,0,0
Maíz,Región Caribe,26.2,93.8,5.32,2.072,0,0
Plátano,Región Caribe,23.8,31.1,7.14,3.932,0,0
Café,Valle del Cauca,27.3,56.3,6.85,0.773,0,0
Café,Región Andina,20.3,62.6,5.42,0.891,0,0
